Language	Question	SPARQL
EN	Show me stories from the [[fandom]] fandom	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title WHERE {  ?story golem:fandom ""[[fandom]]"" . ?story golem:title ?title . }"
EN	Show me all the stories from the [[fandom]] universe	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title  WHERE {  ?story golem:fandom “[[fandom]]“ . ?story golem:title ?title . }
EN	Is the story [[story]] completed?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?status WHERE {  ?story golem:title ""[[story]]"" . ?story golem:publicationStatus ?status . }"
EN	When was [[story]] published?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?date WHERE {  ?story golem:title ""[[story]]"" . ?story golem:datePublished ?date . }"
EN	What is the most recently uploaded story?	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title WHERE {  ?story golem:datePublished ?date . ?story golem:title ?title . } ORDER BY DESC(?date) LIMIT 1
EN	What stories were posted in 2015?	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title WHERE {  ?story golem:datePublished ?date . ?story golem:title ?title . FILTER(YEAR(xsd:datetime(?date))=2015) . }
EN	What are the keywords of [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT  (GROUP_CONCAT(DISTINCT ?keyword; separator="", "") AS ?keywords ) WHERE {  ?story golem:title ""[[story]]"" . ?story golem:keyword ?keyword . }"
EN	Is keyword [[keyword]] a given keyword in [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?keyword WHERE {  ?story golem:title ""[[story]]"" . ?story golem:keyword ?keyword . FILTER(?keyword = ""[[keyword]]"") . }"
EN	How many chapters does [[story]] have?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters WHERE {  ?story golem:title ""[[story]]"" . ?story golem:numberOfChapters ?chapters . }"
EN	What is the content rating for the story [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?rating WHERE {  ?story golem:title ""[[story]]"" . ?story golem:rating ?rating . }"
EN	How long is [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters ?words WHERE {  ?story golem:title ""[[story]]"" . ?story golem:numberOfChapters ?chapters . ?story golem:numberOfWords ?words . }"
EN	Does [[story]] have any content warnings?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT (GROUP_CONCAT(DISTINCT ?warning; separator="", "") AS ?warnings) WHERE {  ?story golem:title ""[[story]]"" . ?story golem:contentWarning ?warning . }"
EN	Who is the author of [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?author WHERE {  ?story golem:title ""[[story]]"" . ?story golem:author ?author . }"
EN	What collections is [[story]] part of?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?collections WHERE {  ?story golem:title ""[[story]]"" . ?story golem:collections ?collections . }"
EN	What characters appear in [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT ?characters WHERE {  ?story golem:title ""[[story]]"" . ?story golem:characters ?characters . }"
EN	What series is [[story]] a part of?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?series WHERE {  ?story golem:title ""[[story]]"" . ?story golem:series ?series . }"
EN	Show me all multi-chapter stories	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title WHERE {  ?story golem:title ?title . ?story golem:numberOfChapters ?chapters . FILTER(?chapters > 1) }
